DATE,DEF,NDX 100 (Stooq ^NDX),"TQQQ (YF+SS 1%, ER 0.95%)","QLD (YF+SS 1%, ER 0.95%)",S&P 500 (Stooq ^SPX),1.00%,<- SS,0.95%,<- ER,TQQQ NO TAX,QLD NO TAX
1991. 9. 16,5.56,278.58,1.1113,0.36,385.78,,,,,0.15965,0.14958
1991. 9. 17,5.61,278.09,1.105,0.36,385.5,,,,,0.1588,0.14906
1991. 9. 18,5.43,281.04,1.1398,0.37,386.94,,,,,0.16386,0.15222
1991. 9. 19,5.37,283.51,1.1694,0.37,387.56,,,,,0.16818,0.1549
1991. 9. 20,5.24,286.64,1.2077,0.38,387.92,,,,,0.17375,0.15832
1991. 9. 23,5.32,284.86,1.1838,0.38,385.92,,,,,0.17051,0.15635
1991. 9. 24,5.32,287.35,1.2144,0.38,387.71,,,,,0.17498,0.15908
1991. 9. 25,5.32,288.99,1.2348,0.39,386.88,,,,,0.17798,0.1609
1991. 9. 26,5.4,287.92,1.2206,0.39,386.49,,,,,0.176,0.15971
1991. 9. 27,5.24,285.94,1.1949,0.38,385.9,,,,,0.17237,0.15751
1991. 9. 30,5.6,287.54,1.2137,0.38,387.86,,,,,0.17527,0.15927
1991. 10. 1,5.4,288.37,1.2237,0.39,389.2,,,,,0.17678,0.16019
1991. 10. 2,5.2,285.06,1.1811,0.38,388.26,,,,,0.1707,0.15652
1991. 10. 3,5.33,280.41,1.1229,0.37,384.47,,,,,0.16234,0.15141
1991. 10. 4,5.16,280.52,1.1238,0.37,381.25,,,,,0.16253,0.15153
1991. 10. 7,5.22,278.89,1.1029,0.36,379.5,,,,,0.1597,0.14977
1991. 10. 8,5.18,280.02,1.1159,0.36,380.67,,,,,0.16164,0.15098
1991. 10. 9,5.15,276.51,1.0735,0.35,376.8,,,,,0.15556,0.1472
1991. 10. 10,5.17,279.11,1.1034,0.36,380.55,,,,,0.15995,0.14996
1991. 10. 11,5.03,281.5,1.1314,0.37,381.45,,,,,0.16406,0.15253
1991. 10. 14,5.03,287.17,1.1985,0.38,386.47,,,,,0.17397,0.15868
1991. 10. 15,5.58,293.31,1.275,0.4,391.01,,,,,0.18513,0.16546
1991. 10. 16,6.11,297.65,1.3311,0.41,392.8,,,,,0.19335,0.17036
1991. 10. 17,5.33,292.46,1.2609,0.4,391.92,,,,,0.18324,0.16442
1991. 10. 18,5.2,293.11,1.2688,0.4,392.5,,,,,0.18446,0.16515
1991. 10. 21,5.27,290.86,1.2382,0.39,390.02,,,,,0.18021,0.16261
1991. 10. 22,5.25,290.79,1.2368,0.39,387.83,,,,,0.18008,0.16254
1991. 10. 23,5.21,289.35,1.218,0.39,387.94,,,,,0.17741,0.16093
1991. 10. 24,5.22,285.65,1.1708,0.38,385.07,,,,,0.1706,0.15681
1991. 10. 25,5.21,282.94,1.1371,0.37,384.2,,,,,0.16574,0.15383
1991. 10. 28,5.27,286.38,1.1773,0.38,389.52,,,,,0.17179,0.15758
1991. 10. 29,5.11,290.08,1.2225,0.39,391.48,,,,,0.17845,0.16165
1991. 10. 30,4.44,294.72,1.2807,0.4,392.96,,,,,0.18701,0.16682
1991. 10. 31,5.23,292.51,1.2515,0.39,392.45,,,,,0.1828,0.16432
1991. 11. 1,5.03,290.01,1.2189,0.39,391.32,,,,,0.17812,0.16151
1991. 11. 4,5.09,286.93,1.1788,0.38,390.28,,,,,0.17244,0.15808
1991. 11. 5,5.06,289.05,1.2045,0.38,388.71,,,,,0.17626,0.16041
1991. 11. 6,4.87,289.43,1.2088,0.39,389.97,,,,,0.17696,0.16084
1991. 11. 7,4.8,292.88,1.2516,0.39,393.72,,,,,0.18329,0.16467
1991. 11. 8,4.71,295.55,1.2854,0.4,392.89,,,,,0.1883,0.16767
1991. 11. 11,4.71,297.85,1.3141,0.41,393.12,,,,,0.1927,0.17028
1991. 11. 12,4.89,301.96,1.368,0.42,396.74,,,,,0.20067,0.17498
1991. 11. 13,4.62,302.83,1.3793,0.42,397.41,,,,,0.20241,0.17599
1991. 11. 14,4.86,301.05,1.3546,0.42,397.15,,,,,0.19884,0.17392
1991. 11. 15,4.98,284.52,1.131,0.37,382.62,,,,,0.16609,0.15482
1991. 11. 18,4.88,288.59,1.1783,0.38,385.24,,,,,0.17321,0.15925
1991. 11. 19,4.78,284.39,1.1264,0.37,379.42,,,,,0.16565,0.15462
1991. 11. 20,4.74,285.2,1.1357,0.37,378.53,,,,,0.16707,0.1555
1991. 11. 21,4.74,288.61,1.176,0.38,380.06,,,,,0.17306,0.15921
1991. 11. 22,4.75,286.32,1.1476,0.37,376.14,,,,,0.16894,0.15669
1991. 11. 25,4.89,283.02,1.1067,0.37,375.34,,,,,0.1631,0.15308
1991. 11. 26,4.52,284.13,1.1194,0.37,377.96,,,,,0.16502,0.15428
1991. 11. 27,4.38,285.23,1.132,0.37,376.55,,,,,0.16693,0.15547
1991. 11. 29,4.86,284.79,1.126,0.37,375.22,,,,,0.16616,0.15499
1991. 12. 2,5,293.93,1.2333,0.39,381.4,,,,,0.18216,0.16494
1991. 12. 3,4.86,293.95,1.2331,0.39,380.96,,,,,0.1822,0.16496
1991. 12. 4,4.71,295.11,1.2472,0.4,380.07,,,,,0.18435,0.16626
1991. 12. 5,4.72,294.33,1.2369,0.39,377.39,,,,,0.18289,0.16539
1991. 12. 6,4.52,296.14,1.2593,0.4,379.1,,,,,0.18627,0.16742
1991. 12. 9,4.52,295.77,1.2533,0.4,378.26,,,,,0.18557,0.167
1991. 12. 10,4.4,296.33,1.26,0.4,377.9,,,,,0.18662,0.16763
1991. 12. 11,4.59,294.84,1.2406,0.4,377.7,,,,,0.18381,0.16595
1991. 12. 12,4.57,297.98,1.2798,0.4,381.55,,,,,0.18968,0.16948
1991. 12. 13,4.42,301.33,1.3226,0.41,384.47,,,,,0.19608,0.17329
1991. 12. 16,4.65,303.02,1.3435,0.42,384.46,,,,,0.19937,0.17524
1991. 12. 17,4.5,298.89,1.2882,0.41,382.74,,,,,0.19122,0.17046
1991. 12. 18,4.47,299.61,1.297,0.41,383.48,,,,,0.1926,0.17128
1991. 12. 19,4.6,294.53,1.2306,0.39,382.52,,,,,0.18281,0.16547
1991. 12. 20,4.11,295.82,1.2464,0.4,387.04,,,,,0.18521,0.16692
1991. 12. 23,4.26,303.3,1.3398,0.42,396.82,,,,,0.19926,0.17536
1991. 12. 24,4.19,307.08,1.3895,0.43,399.33,,,,,0.20671,0.17974
1991. 12. 26,4.59,313.68,1.4782,0.45,404.84,,,,,0.22004,0.18746
1991. 12. 27,4.14,316.77,1.5214,0.45,406.46,,,,,0.22654,0.19115
1991. 12. 30,4.12,326.73,1.6634,0.48,415.14,,,,,0.24791,0.20318
1991. 12. 31,4.09,330.86,1.726,0.49,417.09,,,,,0.25731,0.20831
1992. 1. 2,4.61,333.36,1.7641,0.5,417.26,,,,,0.26314,0.21146
1992. 1. 3,4.06,334.83,1.7868,0.51,419.34,,,,,0.26662,0.21332
1992. 1. 6,4.04,336.89,1.8182,0.51,417.96,,,,,0.27154,0.21595
1992. 1. 7,3.67,339.64,1.8621,0.52,417.4,,,,,0.27819,0.21948
1992. 1. 8,4.83,344.29,1.9381,0.53,418.1,,,,,0.28962,0.22548
1992. 1. 9,4.22,350.32,2.0392,0.55,417.61,,,,,0.30484,0.23338
1992. 1. 10,3.96,347.11,1.9825,0.54,415.1,,,,,0.29646,0.22911
1992. 1. 13,3.98,348.27,2.0006,0.55,414.34,,,,,0.29943,0.23064
1992. 1. 14,3.95,352.59,2.0745,0.56,420.44,,,,,0.31057,0.23636
1992. 1. 15,4.04,355.6,2.127,0.57,420.77,,,,,0.31853,0.24039
1992. 1. 16,3.94,351.92,2.0603,0.56,418.21,,,,,0.30864,0.23542
1992. 1. 17,3.56,349.73,2.0212,0.55,418.86,,,,,0.30288,0.23249
1992. 1. 20,3.56,341.81,1.8822,0.53,416.36,,,,,0.2823,0.22196
1992. 1. 21,4.11,328.04,1.6542,0.48,412.64,,,,,0.24818,0.20408
1992. 1. 22,4.82,346.32,1.9302,0.54,418.13,,,,,0.28967,0.22682
1992. 1. 23,4.15,346.08,1.9256,0.54,414.96,,,,,0.28907,0.22651
1992. 1. 24,3.96,345.45,1.9144,0.53,415.48,,,,,0.28749,0.22568
1992. 1. 27,4.08,340.48,1.8301,0.52,414.99,,,,,0.27508,0.21919
1992. 1. 28,4,340.85,1.8355,0.52,414.96,,,,,0.27598,0.21966
1992. 1. 29,3.93,337.29,1.7774,0.51,410.34,,,,,0.26733,0.21508
1992. 1. 30,4.02,338.39,1.7943,0.51,411.62,,,,,0.26995,0.21648
1992. 1. 31,4.4,338.32,1.7926,0.51,408.78,,,,,0.26978,0.21639
