DATE,DEF,NDX 100 (Stooq ^NDX),"TQQQ (YF+SS 1%, ER 0.95%)","QLD (YF+SS 1%, ER 0.95%)",S&P 500 (Stooq ^SPX),1.00%,<- SS,0.95%,<- ER,TQQQ NO TAX,QLD NO TAX
1985. 10. 1,8.26,112.14,0.5045,0.14,185.07,,,,,0.02453,0.03201
1985. 10. 2,7.97,110.82,0.4865,0.13,184.06,,,,,0.02366,0.03125
1985. 10. 3,7.9,110.87,0.4869,0.13,184.36,,,,,0.02369,0.03128
1985. 10. 4,7.73,110.07,0.4761,0.13,183.22,,,,,0.02318,0.03083
1985. 10. 7,7.8,108.2,0.4511,0.13,181.87,,,,,0.022,0.02978
1985. 10. 8,7.7,107.16,0.4378,0.12,181.87,,,,,0.02136,0.02921
1985. 10. 9,8.32,108.63,0.4556,0.13,182.52,,,,,0.02224,0.03001
1985. 10. 10,8.28,109.43,0.4655,0.13,182.78,,,,,0.02274,0.03045
1985. 10. 11,7.94,111.05,0.4859,0.13,184.28,,,,,0.02375,0.03136
1985. 10. 14,7.94,113.18,0.5131,0.14,186.37,,,,,0.02511,0.03256
1985. 10. 15,8.16,113.38,0.5155,0.14,186.08,,,,,0.02524,0.03267
1985. 10. 16,7.98,114.32,0.5281,0.14,187.98,,,,,0.02587,0.03322
1985. 10. 17,7.99,114.74,0.5336,0.14,187.66,,,,,0.02616,0.03346
1985. 10. 18,8,114.32,0.5275,0.14,187.04,,,,,0.02587,0.03321
1985. 10. 21,8.15,113.68,0.5178,0.14,186.96,,,,,0.02544,0.03284
1985. 10. 22,8.11,114.44,0.5279,0.14,188.04,,,,,0.02595,0.03328
1985. 10. 23,8.71,115.07,0.5363,0.14,189.09,,,,,0.02637,0.03365
1985. 10. 24,8.22,115.49,0.5419,0.14,188.5,,,,,0.02666,0.03389
1985. 10. 25,7.87,113.91,0.5194,0.14,187.52,,,,,0.02557,0.03297
1985. 10. 28,7.86,113.82,0.5173,0.14,187.76,,,,,0.02551,0.03291
1985. 10. 29,7.73,115.4,0.5386,0.14,189.23,,,,,0.02657,0.03383
1985. 10. 30,7.8,115.77,0.5435,0.14,190.07,,,,,0.02683,0.03404
1985. 10. 31,8.08,115.48,0.5391,0.14,189.82,,,,,0.02662,0.03387
1985. 11. 1,8.32,116.28,0.5501,0.15,191.53,,,,,0.02718,0.03434
1985. 11. 4,8.33,116.04,0.5458,0.14,191.25,,,,,0.02701,0.0342
1985. 11. 5,8.29,116.44,0.5511,0.15,192.37,,,,,0.02729,0.03444
1985. 11. 6,8.42,117.38,0.5642,0.15,192.76,,,,,0.02795,0.03499
1985. 11. 7,8.18,117.62,0.5673,0.15,192.62,,,,,0.02812,0.03514
1985. 11. 8,7.87,119.26,0.5907,0.15,193.72,,,,,0.0293,0.03612
1985. 11. 11,7.87,120.4,0.6068,0.16,197.28,,,,,0.03014,0.03681
1985. 11. 12,8.03,121.82,0.6279,0.16,198.08,,,,,0.0312,0.03768
1985. 11. 13,7.97,121.17,0.6175,0.16,197.1,,,,,0.0307,0.03727
1985. 11. 14,7.95,121.83,0.6273,0.16,199.06,,,,,0.03121,0.03768
1985. 11. 15,8.58,122.18,0.6324,0.16,198.11,,,,,0.03148,0.0379
1985. 11. 18,7.81,121.96,0.6279,0.16,198.71,,,,,0.03131,0.03776
1985. 11. 19,7.29,122.57,0.637,0.16,198.67,,,,,0.03178,0.03814
1985. 11. 20,8.12,122.2,0.6309,0.16,198.99,,,,,0.03149,0.03791
1985. 11. 21,8.04,123.61,0.6524,0.16,201.41,,,,,0.03258,0.03878
1985. 11. 22,7.41,123.97,0.6578,0.16,201.52,,,,,0.03286,0.03901
1985. 11. 25,7.94,123.14,0.6436,0.16,200.35,,,,,0.0322,0.03849
1985. 11. 26,7.9,123.95,0.656,0.16,200.67,,,,,0.03284,0.03899
1985. 11. 27,7.88,125.77,0.6845,0.17,202.54,,,,,0.03428,0.04014
1985. 11. 29,8.54,126.06,0.6886,0.17,202.17,,,,,0.03452,0.04032
1985. 12. 2,8.56,125.18,0.673,0.17,200.46,,,,,0.0338,0.03976
1985. 12. 3,8.68,125.23,0.6734,0.17,200.86,,,,,0.03384,0.03979
1985. 12. 4,8.69,127.94,0.7168,0.17,204.23,,,,,0.03604,0.04151
1985. 12. 5,8.29,128.46,0.7251,0.18,203.88,,,,,0.03647,0.04185
1985. 12. 6,7.99,126.96,0.6993,0.17,202.99,,,,,0.0352,0.04087
1985. 12. 9,8.02,127.49,0.707,0.17,204.25,,,,,0.03564,0.04121
1985. 12. 10,7.93,127.97,0.7146,0.17,204.39,,,,,0.03604,0.04152
1985. 12. 11,7.99,129.18,0.7345,0.18,206.31,,,,,0.03706,0.04231
1985. 12. 12,7.9,129.76,0.744,0.18,206.73,,,,,0.03756,0.04269
1985. 12. 13,7.84,132.12,0.7842,0.19,209.94,,,,,0.03961,0.04424
1985. 12. 16,8,132.61,0.7917,0.19,212.02,,,,,0.04005,0.04457
1985. 12. 17,7.93,131.54,0.7721,0.18,210.65,,,,,0.03908,0.04385
1985. 12. 18,8.98,131.14,0.7647,0.18,209.81,,,,,0.03873,0.04358
1985. 12. 19,8.17,131.93,0.778,0.18,210.02,,,,,0.03943,0.04411
1985. 12. 20,7.99,132.26,0.7835,0.19,210.94,,,,,0.03972,0.04433
1985. 12. 23,8.03,130.73,0.755,0.18,208.57,,,,,0.03834,0.0433
1985. 12. 24,7.97,130.03,0.7425,0.18,207.14,,,,,0.03773,0.04284
1985. 12. 26,8,130.35,0.7472,0.18,207.65,,,,,0.03801,0.04305
1985. 12. 27,7.62,131.49,0.7664,0.18,209.61,,,,,0.039,0.0438
1985. 12. 30,9.08,131.95,0.7733,0.18,210.68,,,,,0.03941,0.04411
1985. 12. 31,13.46,132.29,0.7789,0.19,211.28,,,,,0.03972,0.04434
1986. 1. 2,8.76,131.26,0.7594,0.18,209.59,,,,,0.03879,0.04365
1986. 1. 3,8.34,130.55,0.7466,0.18,210.88,,,,,0.03816,0.04318
1986. 1. 6,8,130.35,0.742,0.18,210.65,,,,,0.03798,0.04304
1986. 1. 7,7.82,132.79,0.7832,0.19,213.8,,,,,0.04012,0.04466
1986. 1. 8,7.79,131.16,0.754,0.18,207.97,,,,,0.03864,0.04356
1986. 1. 9,7.93,128.8,0.7129,0.17,206.11,,,,,0.03655,0.04199
1986. 1. 10,7.87,129.57,0.7253,0.18,205.96,,,,,0.03721,0.04249
1986. 1. 13,8.08,129.1,0.7163,0.18,206.72,,,,,0.03681,0.04219
1986. 1. 14,7.94,129.18,0.7173,0.18,206.64,,,,,0.03687,0.04224
1986. 1. 15,8.04,131.54,0.7562,0.18,208.26,,,,,0.03889,0.04378
1986. 1. 16,7.92,133.06,0.782,0.19,209.17,,,,,0.04024,0.04479
1986. 1. 17,7.8,132.77,0.7765,0.19,208.43,,,,,0.03998,0.0446
1986. 1. 20,7.8,131.6,0.7548,0.18,207.53,,,,,0.03892,0.04381
1986. 1. 21,7.96,131.09,0.7456,0.18,205.79,,,,,0.03847,0.04347
1986. 1. 22,8.01,129.62,0.7201,0.18,203.49,,,,,0.03718,0.0425
1986. 1. 23,7.89,129.27,0.7139,0.18,204.25,,,,,0.03687,0.04227
1986. 1. 24,7.79,130.2,0.729,0.18,206.43,,,,,0.03767,0.04288
1986. 1. 27,7.95,130.79,0.7377,0.18,207.39,,,,,0.03818,0.04326
1986. 1. 28,7.85,131.99,0.7577,0.18,209.81,,,,,0.03923,0.04406
1986. 1. 29,7.78,133.06,0.7757,0.19,210.29,,,,,0.04019,0.04477
1986. 1. 30,8.02,132.19,0.7601,0.18,209.33,,,,,0.0394,0.04419
1986. 1. 31,8.09,132.93,0.7725,0.18,211.78,,,,,0.04006,0.04468
1986. 2. 3,8.02,134.24,0.7941,0.19,213.96,,,,,0.04125,0.04556
1986. 2. 4,7.79,134.6,0.8,0.19,212.79,,,,,0.04158,0.04581
1986. 2. 5,7.69,135.71,0.8194,0.19,212.96,,,,,0.04261,0.04656
1986. 2. 6,7.73,136.64,0.8358,0.19,213.47,,,,,0.04348,0.0472
1986. 2. 7,7.8,137.42,0.8497,0.2,214.56,,,,,0.04423,0.04774
1986. 2. 10,7.92,138.12,0.8614,0.2,216.24,,,,,0.0449,0.04823
1986. 2. 11,7.84,138.26,0.8636,0.2,215.92,,,,,0.04504,0.04832
1986. 2. 12,8.03,138.66,0.8706,0.2,215.97,,,,,0.04543,0.0486
1986. 2. 13,7.89,139.16,0.8796,0.2,217.4,,,,,0.04592,0.04895
1986. 2. 14,7.75,140.16,0.8981,0.2,219.76,,,,,0.04691,0.04966
1986. 2. 18,8.09,140.74,0.9074,0.21,222.45,,,,,0.04749,0.05007
1986. 2. 19,7.91,139.64,0.8857,0.2,219.76,,,,,0.04638,0.04929
1986. 2. 20,7.82,139.95,0.8911,0.2,222.22,,,,,0.04669,0.0495
1986. 2. 21,7.73,141.15,0.9136,0.21,224.62,,,,,0.04789,0.05035
1986. 2. 24,7.89,140.2,0.8937,0.2,224.34,,,,,0.04692,0.04967
1986. 2. 25,7.88,139.4,0.8779,0.2,223.79,,,,,0.04612,0.04911
1986. 2. 26,7.95,138.88,0.8677,0.2,224.04,,,,,0.0456,0.04874
1986. 2. 27,7.91,140.52,0.898,0.2,226.77,,,,,0.04722,0.04989
1986. 2. 28,7.95,140.43,0.8958,0.2,226.92,,,,,0.04713,0.04983
1986. 3. 3,7.93,139.74,0.8812,0.2,225.42,,,,,0.04643,0.04934
1986. 3. 4,7.76,140.54,0.8958,0.2,224.38,,,,,0.04723,0.0499
1986. 3. 5,7.77,140.24,0.8896,0.2,224.34,,,,,0.04693,0.04969
1986. 3. 6,7.66,140.8,0.8998,0.21,225.13,,,,,0.04749,0.05009
1986. 3. 7,7.39,140.71,0.8977,0.2,225.57,,,,,0.0474,0.05002
1986. 3. 10,7.42,142.43,0.9292,0.21,226.58,,,,,0.04914,0.05125
1986. 3. 11,7.53,145.35,0.9859,0.22,231.69,,,,,0.05216,0.05335
1986. 3. 12,7.88,146.62,1.0113,0.22,232.54,,,,,0.05353,0.05428
1986. 3. 13,7.56,147.01,1.0188,0.22,233.19,,,,,0.05396,0.05457
1986. 3. 14,7.39,147,1.0181,0.22,236.55,,,,,0.05394,0.05456
1986. 3. 17,7.6,146.37,1.0035,0.22,234.67,,,,,0.05325,0.05409
1986. 3. 18,7.55,147.62,1.0287,0.22,235.78,,,,,0.05461,0.05502
1986. 3. 19,7.38,147.48,1.0253,0.22,235.6,,,,,0.05446,0.05491
1986. 3. 20,7.25,147.8,1.0315,0.23,236.54,,,,,0.05481,0.05515
1986. 3. 21,7.17,148.01,1.0354,0.23,233.34,,,,,0.05505,0.05531
1986. 3. 24,7.24,147.09,1.0146,0.22,235.33,,,,,0.05402,0.05462
1986. 3. 25,7.35,147.49,1.0224,0.22,234.72,,,,,0.05446,0.05492
1986. 3. 26,7.41,147.26,1.0171,0.22,237.3,,,,,0.05421,0.05475
1986. 3. 27,7.42,148.38,1.0398,0.23,238.97,,,,,0.05544,0.05558
1986. 3. 31,8.06,148.86,1.0478,0.23,238.9,,,,,0.05598,0.05594
1986. 4. 1,7.49,148.45,1.0386,0.23,235.14,,,,,0.05552,0.05563
1986. 4. 2,7.45,148.92,1.048,0.23,235.71,,,,,0.05605,0.05598
1986. 4. 3,7.44,148.71,1.043,0.23,232.47,,,,,0.05581,0.05583
1986. 4. 4,6.97,147.04,1.0074,0.22,228.69,,,,,0.05393,0.05457
1986. 4. 7,7.09,146.05,0.9856,0.22,228.63,,,,,0.05284,0.05384
1986. 4. 8,6.96,148.93,1.0434,0.23,233.52,,,,,0.05597,0.05596
1986. 4. 9,6.92,149.05,1.0455,0.23,233.75,,,,,0.0561,0.05605
1986. 4. 10,7.11,151.76,1.102,0.24,236.44,,,,,0.05916,0.05809
1986. 4. 11,6.87,152.66,1.1211,0.24,235.97,,,,,0.06021,0.05878
1986. 4. 14,6.99,153.93,1.1475,0.24,237.28,,,,,0.06172,0.05976
1986. 4. 15,7.07,154.92,1.1691,0.25,237.73,,,,,0.06291,0.06052
1986. 4. 16,7.02,158.9,1.2587,0.26,242.22,,,,,0.06776,0.06363
1986. 4. 17,6.79,159.05,1.2616,0.26,243.03,,,,,0.06795,0.06375
1986. 4. 18,6.71,157.66,1.228,0.25,242.38,,,,,0.06617,0.06264
1986. 4. 21,7,158.52,1.2464,0.26,244.74,,,,,0.06725,0.06332
1986. 4. 22,7.14,157.86,1.2303,0.25,242.42,,,,,0.06641,0.0628
1986. 4. 23,7.37,157.46,1.2203,0.25,241.75,,,,,0.0659,0.06248
1986. 4. 24,6.99,159.85,1.2753,0.26,242.02,,,,,0.06891,0.06437
1986. 4. 25,6.78,160.46,1.2893,0.26,242.29,,,,,0.06969,0.06487
1986. 4. 28,6.9,159.9,1.274,0.26,243.08,,,,,0.06896,0.06441
1986. 4. 29,6.87,158.25,1.234,0.26,240.51,,,,,0.06683,0.06308
1986. 4. 30,7.05,154.91,1.1553,0.24,235.52,,,,,0.0626,0.06042
1986. 5. 1,7.13,154.21,1.1391,0.24,235.16,,,,,0.06175,0.05987
1986. 5. 2,6.86,155.01,1.1563,0.24,234.79,,,,,0.06271,0.0605
1986. 5. 5,6.88,157.14,1.2023,0.25,237.73,,,,,0.0653,0.06216
1986. 5. 6,6.73,157.12,1.2013,0.25,237.24,,,,,0.06527,0.06214
1986. 5. 7,6.74,156.26,1.1811,0.25,236.08,,,,,0.0642,0.06146
1986. 5. 8,6.84,157.16,1.2009,0.25,237.13,,,,,0.06531,0.06217
1986. 5. 9,6.78,157.91,1.2176,0.25,237.85,,,,,0.06624,0.06276
1986. 5. 12,6.92,157.75,1.2122,0.25,237.58,,,,,0.06604,0.06264
1986. 5. 13,6.85,157.05,1.1955,0.25,236.41,,,,,0.06516,0.06208
1986. 5. 14,6.82,157.01,1.194,0.25,237.54,,,,,0.06511,0.06205
1986. 5. 15,7,155.76,1.165,0.25,234.43,,,,,0.06356,0.06106
1986. 5. 16,6.8,154.99,1.1471,0.24,232.76,,,,,0.06262,0.06046
1986. 5. 19,6.89,155.31,1.1527,0.24,233.2,,,,,0.063,0.06071
1986. 5. 20,6.86,157.01,1.19,0.25,236.11,,,,,0.06507,0.06204
1986. 5. 21,6.96,157.44,1.1992,0.25,235.45,,,,,0.06561,0.06238
1986. 5. 22,6.87,159.63,1.2487,0.26,240.12,,,,,0.06834,0.06411
1986. 5. 23,6.79,160.16,1.2606,0.26,241.35,,,,,0.06902,0.06454
1986. 5. 27,6.98,161.18,1.2823,0.26,244.75,,,,,0.07034,0.06536
1986. 5. 28,6.97,161.3,1.2846,0.26,246.63,,,,,0.0705,0.06546
1986. 5. 29,6.84,161.62,1.2916,0.26,247.98,,,,,0.07092,0.06572
1986. 5. 30,6.84,163.16,1.328,0.27,247.35,,,,,0.07295,0.06697
1986. 6. 2,7.05,162.03,1.2985,0.26,245.04,,,,,0.07143,0.06604
1986. 6. 3,7.1,162.11,1.2999,0.26,245.51,,,,,0.07154,0.06611
1986. 6. 4,7.16,161.82,1.2923,0.26,243.94,,,,,0.07115,0.06587
1986. 6. 5,6.99,162.36,1.3046,0.27,245.65,,,,,0.07187,0.06631
1986. 6. 6,6.85,161.88,1.2924,0.26,245.67,,,,,0.07123,0.06592
1986. 6. 9,7,158.61,1.2123,0.25,239.96,,,,,0.06691,0.06325
1986. 6. 10,6.87,158.1,1.2,0.25,239.58,,,,,0.06627,0.06285
1986. 6. 11,6.84,160.04,1.2436,0.26,241.13,,,,,0.06871,0.06439
1986. 6. 12,6.9,160.37,1.2508,0.26,241.49,,,,,0.06913,0.06465
1986. 6. 13,6.84,162.35,1.2965,0.26,245.73,,,,,0.07169,0.06625
1986. 6. 16,6.95,160.8,1.2576,0.26,246.13,,,,,0.06964,0.06499
1986. 6. 17,6.83,158.57,1.2047,0.25,244.35,,,,,0.06674,0.06318
1986. 6. 18,6.87,158.48,1.2021,0.25,244.99,,,,,0.06663,0.06311
1986. 6. 19,6.88,159.28,1.2197,0.25,244.06,,,,,0.06764,0.06375
1986. 6. 20,6.83,159.59,1.2263,0.26,247.58,,,,,0.06803,0.064
1986. 6. 23,6.91,159.55,1.2237,0.26,245.26,,,,,0.06798,0.06397
1986. 6. 24,6.88,160.8,1.2519,0.26,247.03,,,,,0.06958,0.06497
1986. 6. 25,6.84,162,1.2793,0.26,248.93,,,,,0.07114,0.06594
1986. 6. 26,6.85,161.72,1.2721,0.26,248.74,,,,,0.07077,0.06571
1986. 6. 27,6.82,161.62,1.2691,0.26,249.6,,,,,0.07064,0.06563
1986. 6. 30,7.72,162.62,1.2909,0.26,250.84,,,,,0.07195,0.06644
1986. 7. 1,6.97,163.32,1.307,0.27,252.04,,,,,0.07288,0.06701
1986. 7. 2,7.12,163.96,1.3217,0.27,252.7,,,,,0.07373,0.06754
1986. 7. 3,6.87,164.51,1.3344,0.27,251.79,,,,,0.07447,0.06799
1986. 7. 7,6.93,157.62,1.1643,0.25,244.05,,,,,0.06512,0.0623
1986. 7. 8,6.88,153.26,1.0671,0.23,241.59,,,,,0.05971,0.05885
1986. 7. 9,6.8,155.41,1.1115,0.24,242.82,,,,,0.06223,0.0605
1986. 7. 10,6.78,154.29,1.087,0.24,243.01,,,,,0.06088,0.05963
1986. 7. 11,6.47,152.85,1.056,0.23,242.22,,,,,0.05918,0.05851
1986. 7. 14,6.48,149.29,0.9809,0.22,238.11,,,,,0.05504,0.05579
1986. 7. 15,6.39,146.26,0.9207,0.21,233.66,,,,,0.05169,0.05352
1986. 7. 16,6.54,147.4,0.9418,0.22,235.01,,,,,0.0529,0.05436
1986. 7. 17,6.5,148.46,0.9617,0.22,236.07,,,,,0.05404,0.05514
1986. 7. 18,6.38,147.76,0.9477,0.22,236.36,,,,,0.05328,0.05462
1986. 7. 21,6.48,147.07,0.9332,0.21,236.24,,,,,0.05253,0.05411
1986. 7. 22,6.39,147.4,0.9391,0.22,238.18,,,,,0.05288,0.05435
1986. 7. 23,6.41,147.18,0.9345,0.21,238.67,,,,,0.05265,0.05419
1986. 7. 24,6.33,147.28,0.9359,0.21,237.95,,,,,0.05275,0.05426
1986. 7. 25,6.3,148.26,0.9542,0.22,240.22,,,,,0.05381,0.05499
1986. 7. 28,6.42,145.51,0.8999,0.21,236.01,,,,,0.05081,0.05295
1986. 7. 29,6.31,144.21,0.8754,0.21,234.55,,,,,0.04945,0.052
1986. 7. 30,6.26,144.52,0.8807,0.21,236.59,,,,,0.04977,0.05222
1986. 7. 31,6.35,144.71,0.8837,0.21,236.12,,,,,0.04997,0.05236
1986. 8. 1,6.38,144.19,0.8738,0.21,234.91,,,,,0.04943,0.05199
1986. 8. 4,6.38,142.52,0.8423,0.2,235.99,,,,,0.04771,0.05078
1986. 8. 5,6.35,141.86,0.8303,0.2,237.03,,,,,0.04705,0.05031
1986. 8. 6,6.28,140.54,0.8067,0.19,236.84,,,,,0.04573,0.04937
1986. 8. 7,6.33,140.7,0.8091,0.2,237.04,,,,,0.04589,0.04949
1986. 8. 8,6.36,142.29,0.8362,0.2,236.88,,,,,0.04745,0.05061
1986. 8. 11,6.4,145.44,0.8907,0.21,240.68,,,,,0.0506,0.05285
1986. 8. 12,6.28,147.06,0.92,0.21,243.34,,,,,0.05229,0.05402
1986. 8. 13,6.09,148.84,0.9531,0.22,245.67,,,,,0.05419,0.05533
1986. 8. 14,6.29,149.99,0.9748,0.22,246.25,,,,,0.05544,0.05619
1986. 8. 15,6.47,149.57,0.9661,0.22,247.15,,,,,0.05498,0.05587
1986. 8. 18,6.41,149.07,0.9552,0.22,247.38,,,,,0.05443,0.0555
1986. 8. 19,6.32,148.6,0.9457,0.22,246.51,,,,,0.05391,0.05515
1986. 8. 20,6.24,149.76,0.9675,0.22,249.77,,,,,0.05517,0.05601
1986. 8. 21,5.94,150.01,0.9719,0.22,249.67,,,,,0.05545,0.0562
1986. 8. 22,5.86,150.95,0.9898,0.22,250.19,,,,,0.05649,0.0569
1986. 8. 25,5.9,149.91,0.9681,0.22,247.81,,,,,0.05532,0.05612
1986. 8. 26,5.83,151.15,0.9917,0.22,252.84,,,,,0.0567,0.05704
1986. 8. 27,5.86,152.02,1.0085,0.23,253.3,,,,,0.05768,0.0577
1986. 8. 28,5.87,152.04,1.0084,0.23,252.84,,,,,0.0577,0.05772
1986. 8. 29,5.77,151.7,1.0013,0.23,252.93,,,,,0.05731,0.05746
1986. 9. 2,5.94,149.34,0.9529,0.22,248.52,,,,,0.05464,0.05567
1986. 9. 3,5.92,149.82,0.9617,0.22,250.08,,,,,0.05516,0.05603
1986. 9. 4,5.83,151.4,0.9918,0.22,253.83,,,,,0.05691,0.05721
1986. 9. 5,5.75,149.67,0.9574,0.22,250.47,,,,,0.05496,0.0559
1986. 9. 8,5.86,146.55,0.8963,0.21,248.14,,,,,0.05152,0.05357
1986. 9. 9,5.83,145.76,0.8815,0.21,247.67,,,,,0.05069,0.05299
1986. 9. 10,6,144.74,0.8626,0.2,247.06,,,,,0.04962,0.05225
1986. 9. 11,5.88,138.46,0.75,0.19,235.18,,,,,0.04316,0.04772
1986. 9. 12,5.86,135.04,0.6941,0.18,230.67,,,,,0.03997,0.04536
1986. 9. 15,5.97,134.94,0.6917,0.18,231.94,,,,,0.03988,0.04529
1986. 9. 16,5.88,135.21,0.6956,0.18,231.72,,,,,0.04012,0.04548
1986. 9. 17,5.82,136.39,0.7135,0.18,231.68,,,,,0.04117,0.04627
1986. 9. 18,5.84,138.13,0.7405,0.19,232.31,,,,,0.04274,0.04745
1986. 9. 19,5.8,138.46,0.7455,0.19,232.21,,,,,0.04305,0.04768
1986. 9. 22,5.89,140.12,0.7715,0.19,234.93,,,,,0.0446,0.04882
1986. 9. 23,5.75,139.57,0.7621,0.19,235.67,,,,,0.04407,0.04844
1986. 9. 24,5.76,139.24,0.7563,0.19,236.28,,,,,0.04376,0.04821
1986. 9. 25,5.91,137.62,0.7296,0.18,231.83,,,,,0.04223,0.04709
1986. 9. 26,5.9,137.59,0.7289,0.18,232.23,,,,,0.0422,0.04707
1986. 9. 29,6.03,135.54,0.6954,0.18,229.91,,,,,0.04032,0.04566
1986. 9. 30,6.9,137.49,0.7251,0.18,231.32,,,,,0.04206,0.04698
1986. 10. 1,5.99,138.26,0.737,0.19,233.6,,,,,0.04276,0.0475
1986. 10. 2,5.94,138.22,0.736,0.19,233.92,,,,,0.04273,0.04748
1986. 10. 3,5.79,138.55,0.741,0.19,233.71,,,,,0.04303,0.0477
1986. 10. 6,5.78,139.12,0.7492,0.19,234.78,,,,,0.04356,0.04809
1986. 10. 7,5.56,138.26,0.7351,0.18,234.41,,,,,0.04276,0.0475
1986. 10. 8,5.57,139.26,0.7507,0.19,236.68,,,,,0.04368,0.04819
1986. 10. 9,5.84,139.16,0.7488,0.19,235.85,,,,,0.04359,0.04812
1986. 10. 10,5.78,139.87,0.76,0.19,235.48,,,,,0.04426,0.04861
1986. 10. 13,5.78,140.68,0.7723,0.19,235.91,,,,,0.04503,0.04917
1986. 10. 14,5.95,140.96,0.7766,0.19,235.37,,,,,0.0453,0.04937
1986. 10. 15,5.93,142.1,0.7951,0.19,238.8,,,,,0.04639,0.05017
1986. 10. 16,5.89,141.9,0.7914,0.19,239.53,,,,,0.0462,0.05002
1986. 10. 17,5.84,141.2,0.7794,0.19,238.84,,,,,0.04551,0.04953
1986. 10. 20,5.91,140.1,0.7602,0.19,235.97,,,,,0.04445,0.04876
1986. 10. 21,5.86,139.93,0.7571,0.19,235.88,,,,,0.04429,0.04864
1986. 10. 22,6.17,140.3,0.7628,0.19,236.26,,,,,0.04464,0.0489
1986. 10. 23,5.94,142.15,0.7927,0.19,239.28,,,,,0.04641,0.05019
1986. 10. 24,5.83,141.96,0.7892,0.19,238.26,,,,,0.04622,0.05005
1986. 10. 27,5.9,141.76,0.7849,0.19,238.77,,,,,0.04602,0.04991
1986. 10. 28,5.85,142.49,0.7967,0.2,239.26,,,,,0.04674,0.05043
1986. 10. 29,5.83,143.13,0.8071,0.2,240.94,,,,,0.04737,0.05088
1986. 10. 30,5.88,144.78,0.8347,0.2,243.71,,,,,0.049,0.05205
1986. 10. 31,5.93,144.48,0.8291,0.2,243.98,,,,,0.0487,0.05184
1986. 11. 3,6,144.81,0.8338,0.2,245.8,,,,,0.04903,0.05207
1986. 11. 4,5.94,145.96,0.8533,0.2,246.2,,,,,0.0502,0.0529
1986. 11. 5,6.55,146.18,0.8568,0.21,246.58,,,,,0.05043,0.05306
1986. 11. 6,6.07,145.41,0.8429,0.2,245.87,,,,,0.04963,0.0525
1986. 11. 7,5.94,144.91,0.8339,0.2,245.77,,,,,0.04912,0.05214
1986. 11. 10,5.99,144.29,0.8221,0.2,246.13,,,,,0.04849,0.05169
1986. 11. 11,5.99,145.35,0.8399,0.2,247.08,,,,,0.04956,0.05245
1986. 11. 12,5.99,145.58,0.8436,0.2,246.64,,,,,0.04979,0.05262
1986. 11. 13,5.94,143.41,0.8055,0.2,243.02,,,,,0.04757,0.05105
1986. 11. 14,5.89,143.51,0.8068,0.2,244.5,,,,,0.04767,0.05112
1986. 11. 17,6.14,143.2,0.8006,0.2,243.21,,,,,0.04736,0.0509
1986. 11. 18,6.02,140.66,0.7577,0.19,236.78,,,,,0.04484,0.0491
1986. 11. 19,7.13,139.54,0.7393,0.19,237.66,,,,,0.04377,0.04831
1986. 11. 20,6.16,141.31,0.7671,0.19,242.05,,,,,0.04543,0.04954
1986. 11. 21,5.96,142.9,0.7926,0.2,245.86,,,,,0.04696,0.05065
1986. 11. 24,5.98,144.49,0.8181,0.2,247.45,,,,,0.04853,0.05178
1986. 11. 25,5.98,145.77,0.8395,0.2,248.17,,,,,0.04982,0.0527
1986. 11. 26,5.99,146.87,0.8582,0.21,248.77,,,,,0.05095,0.05349
1986. 11. 28,6.03,147.94,0.8762,0.21,249.22,,,,,0.05206,0.05427
1986. 12. 1,6.38,146.85,0.8557,0.21,249.05,,,,,0.05091,0.05347
1986. 12. 2,6.54,148.87,0.8907,0.21,254,,,,,0.05301,0.05495
1986. 12. 3,6.72,150.08,0.912,0.21,253.85,,,,,0.05431,0.05584
1986. 12. 4,6.14,149.98,0.9098,0.21,253.04,,,,,0.0542,0.05576
1986. 12. 5,5.94,149.04,0.8923,0.21,251.17,,,,,0.05318,0.05506
1986. 12. 8,6.02,147.85,0.8698,0.21,251.16,,,,,0.05191,0.05419
1986. 12. 9,5.95,146.87,0.8522,0.21,249.28,,,,,0.05087,0.05347
1986. 12. 10,5.86,146.96,0.8534,0.21,250.96,,,,,0.05097,0.05353
1986. 12. 11,5.86,146.08,0.8377,0.2,248.17,,,,,0.05005,0.05289
1986. 12. 12,5.93,144.98,0.8184,0.2,247.35,,,,,0.04892,0.0521
1986. 12. 15,6.53,144.07,0.802,0.2,248.21,,,,,0.048,0.05144
1986. 12. 16,6.48,144.49,0.8087,0.2,250.04,,,,,0.04842,0.05174
1986. 12. 17,7.46,143.04,0.784,0.19,247.56,,,,,0.04696,0.0507
1986. 12. 18,6.44,142.85,0.7805,0.19,246.78,,,,,0.04677,0.05057
1986. 12. 19,6.22,143.77,0.7952,0.2,249.73,,,,,0.04768,0.05122
1986. 12. 22,6.48,144.09,0.7995,0.2,248.75,,,,,0.048,0.05145
1986. 12. 23,6.39,142.8,0.7777,0.19,246.34,,,,,0.04671,0.05053
1986. 12. 24,6.23,142.79,0.7772,0.19,246.75,,,,,0.0467,0.05052
1986. 12. 26,6.42,142.93,0.7788,0.19,246.92,,,,,0.04683,0.05062
1986. 12. 29,8.38,141.51,0.7546,0.19,244.67,,,,,0.04544,0.04961
1986. 12. 30,16.17,141.52,0.7543,0.19,243.37,,,,,0.04545,0.04962
